WeekEnding,HB,HBQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAttendances,Average20182019,PercentVariation
20200105,S08000015,,Under 5,,All,d,214,194.5,10
20200105,S08000015,,5 - 14,,All,d,116,119,-2.5
20200105,S08000015,,15 - 44,,All,d,681,694.5,-1.9
20200105,S08000015,,45 - 64,,All,d,485,455.5,6.5
20200105,S08000015,,65 - 74,,All,d,222,212,4.7
20200105,S08000015,,75 - 84,,All,d,182,184.5,-1.4
20200105,S08000015,,85 and over,,All,d,123,101.5,21.2
20200105,S08000015,,All ages,d,All,d,2048,1972.5,3.8
20200105,S08000015,,All ages,d,Female,,972,990.5,-1.9
20200105,S08000015,,All ages,d,Male,,1051,971,8.2
20200105,S08000016,,Under 5,,All,d,34,28.5,19.3
20200105,S08000016,,5 - 14,,All,d,20,28.5,-29.8
20200105,S08000016,,15 - 44,,All,d,215,183,17.5
20200105,S08000016,,45 - 64,,All,d,164,146.5,11.9
20200105,S08000016,,65 - 74,,All,d,95,81.5,16.6
20200105,S08000016,,75 - 84,,All,d,86,80,7.5
20200105,S08000016,,85 and over,,All,d,63,51,23.5
20200105,S08000016,,All ages,d,All,d,696,611,13.9
20200105,S08000016,,All ages,d,Female,,359,301,19.3
20200105,S08000016,,All ages,d,Male,,318,298,6.7
20200105,S08000017,,Under 5,,All,d,73,85.5,-14.6
20200105,S08000017,,5 - 14,,All,d,38,57,-33.3
20200105,S08000017,,15 - 44,,All,d,329,320.5,2.7
20200105,S08000017,,45 - 64,,All,d,219,194.5,12.6
20200105,S08000017,,65 - 74,,All,d,111,106.5,4.2
20200105,S08000017,,75 - 84,,All,d,113,96,17.7
20200105,S08000017,,85 and over,,All,d,58,47.5,22.1
20200105,S08000017,,All ages,d,All,d,958,909.5,5.3
20200105,S08000017,,All ages,d,Female,,473,455.5,3.8
20200105,S08000017,,All ages,d,Male,,468,452,3.5
20200105,S08000019,,Under 5,,All,d,100,84.5,18.3
20200105,S08000019,,5 - 14,,All,d,55,61.5,-10.6
20200105,S08000019,,15 - 44,,All,d,415,392.5,5.7
20200105,S08000019,,45 - 64,,All,d,324,287.5,12.7
20200105,S08000019,,65 - 74,,All,d,133,127.5,4.3
20200105,S08000019,,75 - 84,,All,d,163,136.5,19.4
20200105,S08000019,,85 and over,,All,d,67,79.5,-15.7
20200105,S08000019,,All ages,d,All,d,1289,1221,5.6
20200105,S08000019,,All ages,d,Female,,596,596,-0
20200105,S08000019,,All ages,d,Male,,661,573.5,15.3
20200105,S08000020,,Under 5,,All,d,178,160,11.2
20200105,S08000020,,5 - 14,,All,d,159,117.5,35.3
20200105,S08000020,,15 - 44,,All,d,754,702.5,7.3
20200105,S08000020,,45 - 64,,All,d,457,425.5,7.4
20200105,S08000020,,65 - 74,,All,d,210,190,10.5
20200105,S08000020,,75 - 84,,All,d,185,172.5,7.2
20200105,S08000020,,85 and over,,All,d,113,96.5,17.1
20200105,S08000020,,All ages,d,All,d,2111,1912,10.4
20200105,S08000020,,All ages,d,Female,,1041,907,14.8
20200105,S08000020,,All ages,d,Male,,1015,957.5,6
20200105,S08000022,,Under 5,,All,d,63,63.5,-0.8
20200105,S08000022,,5 - 14,,All,d,64,41.5,54.2
20200105,S08000022,,15 - 44,,All,d,439,383.5,14.5
20200105,S08000022,,45 - 64,,All,d,299,297,0.7
20200105,S08000022,,65 - 74,,All,d,143,133,7.5
20200105,S08000022,,75 - 84,,All,d,149,112,33
20200105,S08000022,,85 and over,,All,d,66,60.5,9.1
20200105,S08000022,,All ages,d,All,d,1307,1149.5,13.7
20200105,S08000022,,All ages,d,Female,,600,544.5,10.2
20200105,S08000022,,All ages,d,Male,,623,546.5,14
20200105,S08000024,,Under 5,,All,d,563,609,-7.6
20200105,S08000024,,5 - 14,,All,d,347,348.5,-0.4
20200105,S08000024,,15 - 44,,All,d,1391,1363,2.1
20200105,S08000024,,45 - 64,,All,d,854,808.5,5.6
20200105,S08000024,,65 - 74,,All,d,344,349.5,-1.6
20200105,S08000024,,75 - 84,,All,d,320,345.5,-7.4
20200105,S08000024,,85 and over,,All,d,197,215,-8.4
20200105,S08000024,,All ages,d,All,d,4282,4248,0.8
20200105,S08000024,,All ages,d,Female,,2035,2080.5,-2.2
20200105,S08000024,,All ages,d,Male,,1981,1958.5,1.1
20200105,S08000025,,Under 5,,All,d,11,7.5,46.7
20200105,S08000025,,5 - 14,,All,d,6,5,20
20200105,S08000025,,15 - 44,,All,d,38,36,5.6
20200105,S08000025,,45 - 64,,All,d,30,24,25
20200105,S08000025,,65 - 74,,All,d,20,15.5,29
20200105,S08000025,,75 - 84,,All,d,17,16.5,3
20200105,S08000025,,85 and over,,All,d,7,8,-12.5
20200105,S08000025,,All ages,d,All,d,135,114.5,17.9
20200105,S08000025,,All ages,d,Female,,73,55.5,31.5
20200105,S08000025,,All ages,d,Male,,56,57,-1.8
20200105,S08000026,,Under 5,,All,d,18,14,28.6
20200105,S08000026,,15 - 44,,All,d,54,48.5,11.3
20200105,S08000026,,45 - 64,,All,d,31,37,-16.2
20200105,S08000026,,65 - 74,,All,d,11,10.5,4.8
20200105,S08000026,,75 - 84,,All,d,16,16,-0
20200105,S08000026,,All ages,d,All,d,139,141,-1.4
20200105,S08000026,,All ages,d,Female,,59,73.5,-19.7
20200105,S08000026,,All ages,d,Male,,79,64,23.4
20200105,S08000028,,Under 5,,All,d,8,6,33.3
20200105,S08000028,,5 - 14,,All,d,7,7,-0
20200105,S08000028,,15 - 44,,All,d,42,36.5,15.1
20200105,S08000028,,45 - 64,,All,d,32,31.5,1.6
20200105,S08000028,,65 - 74,,All,d,22,18,22.2
20200105,S08000028,,75 - 84,,All,d,10,16,-37.5
20200105,S08000028,,85 and over,,All,d,17,12.5,36
20200105,S08000028,,All ages,d,All,d,145,131,10.7
20200105,S08000028,,All ages,d,Female,,65,65.5,-0.8
20200105,S08000028,,All ages,d,Male,,73,62,17.7
20200105,S08000029,,Under 5,,All,d,90,92.5,-2.7
20200105,S08000029,,5 - 14,,All,d,71,63,12.7
20200105,S08000029,,15 - 44,,All,d,483,465,3.9
20200105,S08000029,,45 - 64,,All,d,304,317.5,-4.3
20200105,S08000029,,65 - 74,,All,d,138,142,-2.8
20200105,S08000029,,75 - 84,,All,d,130,115,13
20200105,S08000029,,85 and over,,All,d,79,75.5,4.6
20200105,S08000029,,All ages,d,All,d,1317,1286.5,2.4
20200105,S08000029,,All ages,d,Female,,664,651.5,1.9
20200105,S08000029,,All ages,d,Male,,631,619,1.9
20200105,S08000030,,Under 5,,All,d,96,105,-8.6
20200105,S08000030,,5 - 14,,All,d,75,73,2.7
20200105,S08000030,,15 - 44,,All,d,506,511,-1
20200105,S08000030,,45 - 64,,All,d,283,313,-9.6
20200105,S08000030,,65 - 74,,All,d,142,146.5,-3.1
20200105,S08000030,,75 - 84,,All,d,134,135.5,-1.1
20200105,S08000030,,85 and over,,All,d,100,105,-4.8
20200105,S08000030,,All ages,d,All,d,1357,1392.5,-2.5
20200105,S08000030,,All ages,d,Female,,673,673.5,-0.1
20200105,S08000030,,All ages,d,Male,,663,715.5,-7.3
20200105,S08000031,,Under 5,,All,d,739,856.5,-13.7
20200105,S08000031,,5 - 14,,All,d,423,447.5,-5.5
20200105,S08000031,,15 - 44,,All,d,2399,2345,2.3
20200105,S08000031,,45 - 64,,All,d,1518,1535.5,-1.1
20200105,S08000031,,65 - 74,,All,d,606,633.5,-4.3
20200105,S08000031,,75 - 84,,All,d,566,598.5,-5.4
20200105,S08000031,,85 and over,,All,d,325,353,-7.9
20200105,S08000031,,All ages,d,All,d,6732,6786,-0.8
20200105,S08000031,,All ages,d,Female,,3291,3420,-3.8
20200105,S08000031,,All ages,d,Male,,3285,3349.5,-1.9
20200105,S08000032,,Under 5,,All,d,204,205,-0.5
20200105,S08000032,,5 - 14,,All,d,167,163.5,2.1
20200105,S08000032,,15 - 44,,All,d,1320,1289.5,2.4
20200105,S08000032,,45 - 64,,All,d,1037,1011,2.6
20200105,S08000032,,65 - 74,,All,d,513,449.5,14.1
20200105,S08000032,,75 - 84,,All,d,439,429,2.3
20200105,S08000032,,85 and over,,All,d,214,214.5,-0.2
20200105,S08000032,,All ages,d,All,d,3937,3810,3.3
20200105,S08000032,,All ages,d,Female,,2009,1946.5,3.2
20200105,S08000032,,All ages,d,Male,,1885,1815.5,3.8
20200105,S92000003,d,Under 5,,All,d,2391,2512,-4.8
20200105,S92000003,d,5 - 14,,All,d,1552,1540,0.8
20200105,S92000003,d,15 - 44,,All,d,9066,8771,3.4
20200105,S92000003,d,45 - 64,,All,d,6037,5884.5,2.6
20200105,S92000003,d,65 - 74,,All,d,2710,2615.5,3.6
20200105,S92000003,d,75 - 84,,All,d,2510,2453.5,2.3
20200105,S92000003,d,85 and over,,All,d,1433,1424,0.6
20200105,S92000003,d,All ages,d,All,d,26453,25685,3
20200105,S92000003,d,All ages,d,Female,,12910,12761,1.2
20200105,S92000003,d,All ages,d,Male,,12789,12439.5,2.8
20200112,S08000015,,Under 5,,All,d,156,195.5,-20.2
20200112,S08000015,,5 - 14,,All,d,186,172,8.1
20200112,S08000015,,15 - 44,,All,d,636,654.5,-2.8
20200112,S08000015,,45 - 64,,All,d,442,456,-3.1
20200112,S08000015,,65 - 74,,All,d,211,202,4.5
20200112,S08000015,,75 - 84,,All,d,199,186,7
20200112,S08000015,,85 and over,,All,d,115,82,40.2
20200112,S08000015,,All ages,d,All,d,1963,1957.5,0.3
20200112,S08000015,,All ages,d,Female,,971,937,3.6
20200112,S08000015,,All ages,d,Male,,974,1011,-3.7
20200112,S08000016,,Under 5,,All,d,17,24,-29.2
20200112,S08000016,,5 - 14,,All,d,25,33.5,-25.4
20200112,S08000016,,15 - 44,,All,d,155,172,-9.9
20200112,S08000016,,45 - 64,,All,d,141,124.5,13.3
20200112,S08000016,,65 - 74,,All,d,71,79,-10.1
20200112,S08000016,,75 - 84,,All,d,92,81.5,12.9
20200112,S08000016,,85 and over,,All,d,44,54.5,-19.3
20200112,S08000016,,All ages,d,All,d,557,574,-3
20200112,S08000016,,All ages,d,Female,,267,270,-1.1
20200112,S08000016,,All ages,d,Male,,278,299,-7
20200112,S08000017,,Under 5,,All,d,62,74,-16.2
20200112,S08000017,,5 - 14,,All,d,65,69.5,-6.5
20200112,S08000017,,15 - 44,,All,d,275,265,3.8
20200112,S08000017,,45 - 64,,All,d,200,172,16.3
20200112,S08000017,,65 - 74,,All,d,105,98,7.1
20200112,S08000017,,75 - 84,,All,d,87,87,-0
20200112,S08000017,,85 and over,,All,d,47,45,4.4
20200112,S08000017,,All ages,d,All,d,852,811,5.1
20200112,S08000017,,All ages,d,Female,,434,415,4.6
20200112,S08000017,,All ages,d,Male,,407,395.5,2.9
20200112,S08000019,,Under 5,,All,d,63,75.5,-16.6
20200112,S08000019,,5 - 14,,All,d,88,87,1.1
20200112,S08000019,,15 - 44,,All,d,436,381,14.4
20200112,S08000019,,45 - 64,,All,d,293,248.5,17.9
20200112,S08000019,,65 - 74,,All,d,142,101,40.6
20200112,S08000019,,75 - 84,,All,d,133,121,9.9
20200112,S08000019,,85 and over,,All,d,67,69,-2.9
20200112,S08000019,,All ages,d,All,d,1231,1135,8.5
20200112,S08000019,,All ages,d,Female,,555,526.5,5.4
20200112,S08000019,,All ages,d,Male,,667,556.5,19.9
20200112,S08000020,,Under 5,,All,d,154,140,10
20200112,S08000020,,5 - 14,,All,d,172,170,1.2
20200112,S08000020,,15 - 44,,All,d,644,634.5,1.5
20200112,S08000020,,45 - 64,,All,d,359,384.5,-6.6
20200112,S08000020,,65 - 74,,All,d,166,131.5,26.2
20200112,S08000020,,75 - 84,,All,d,180,153,17.6
20200112,S08000020,,85 and over,,All,d,105,82,28
20200112,S08000020,,All ages,d,All,d,1813,1738.5,4.3
20200112,S08000020,,All ages,d,Female,,861,829.5,3.8
20200112,S08000020,,All ages,d,Male,,919,866,6.1
20200112,S08000022,,Under 5,,All,d,54,63,-14.3
20200112,S08000022,,5 - 14,,All,d,69,64.5,7
20200112,S08000022,,15 - 44,,All,d,366,347.5,5.3
20200112,S08000022,,45 - 64,,All,d,267,229,16.6
20200112,S08000022,,65 - 74,,All,d,136,96,41.7
20200112,S08000022,,75 - 84,,All,d,107,94,13.8
20200112,S08000022,,85 and over,,All,d,67,60.5,10.7
20200112,S08000022,,All ages,d,All,d,1097,983.5,11.5
20200112,S08000022,,All ages,d,Female,,535,447.5,19.6
20200112,S08000022,,All ages,d,Male,,531,507,4.7
20200112,S08000024,,Under 5,,All,d,508,570.5,-11
20200112,S08000024,,5 - 14,,All,d,438,451,-2.9
20200112,S08000024,,15 - 44,,All,d,1321,1257,5.1
20200112,S08000024,,45 - 64,,All,d,877,807,8.7
20200112,S08000024,,65 - 74,,All,d,345,316.5,9
20200112,S08000024,,75 - 84,,All,d,321,305.5,5.1
20200112,S08000024,,85 and over,,All,d,180,193,-6.7
20200112,S08000024,,All ages,d,All,d,4129,4024.5,2.6
20200112,S08000024,,All ages,d,Female,,2057,1940.5,6
20200112,S08000024,,All ages,d,Male,,1933,1960,-1.4
20200112,S08000025,,Under 5,,All,d,10,5,100
20200112,S08000025,,5 - 14,,All,d,10,7,42.9
20200112,S08000025,,15 - 44,,All,d,38,29.5,28.8
20200112,S08000025,,45 - 64,,All,d,37,22,68.2
20200112,S08000025,,65 - 74,,All,d,14,15.5,-9.7
20200112,S08000025,,75 - 84,,All,d,28,10.5,166.7
20200112,S08000025,,85 and over,,All,d,6,6.5,-7.7
20200112,S08000025,,All ages,d,All,d,148,99,49.5
20200112,S08000025,,All ages,d,Female,,64,51.5,24.3
20200112,S08000025,,All ages,d,Male,,79,44.5,77.5
20200112,S08000026,,Under 5,,All,d,9,13.5,-33.3
20200112,S08000026,,5 - 14,,All,d,9,10,-10
20200112,S08000026,,15 - 44,,All,d,45,42.5,5.9
20200112,S08000026,,45 - 64,,All,d,28,28,-0
20200112,S08000026,,65 - 74,,All,d,14,14.5,-3.4
20200112,S08000026,,75 - 84,,All,d,11,18,-38.9
20200112,S08000026,,85 and over,,All,d,8,9,-11.1
20200112,S08000026,,All ages,d,All,d,128,139.5,-8.2
20200112,S08000026,,All ages,d,Female,,65,65,-0
20200112,S08000026,,All ages,d,Male,,59,70.5,-16.3
20200112,S08000028,,Under 5,,All,d,8,5,60
20200112,S08000028,,5 - 14,,All,d,8,10.5,-23.8
20200112,S08000028,,15 - 44,,All,d,36,32,12.5
20200112,S08000028,,45 - 64,,All,d,37,28,32.1
20200112,S08000028,,65 - 74,,All,d,16,14,14.3
20200112,S08000028,,75 - 84,,All,d,19,14.5,31
20200112,S08000028,,85 and over,,All,d,10,8.5,17.6
20200112,S08000028,,All ages,d,All,d,134,115,16.5
20200112,S08000028,,All ages,d,Female,,62,50,24
20200112,S08000028,,All ages,d,Male,,72,62.5,15.2
20200112,S08000029,,Under 5,,All,d,84,79,6.3
20200112,S08000029,,5 - 14,,All,d,73,95.5,-23.6
20200112,S08000029,,15 - 44,,All,d,446,429,4
20200112,S08000029,,45 - 64,,All,d,301,258.5,16.4
20200112,S08000029,,65 - 74,,All,d,124,121.5,2.1
20200112,S08000029,,75 - 84,,All,d,97,110,-11.8
20200112,S08000029,,85 and over,,All,d,81,72.5,11.7
20200112,S08000029,,All ages,d,All,d,1218,1175,3.7
20200112,S08000029,,All ages,d,Female,,615,549.5,11.9
20200112,S08000029,,All ages,d,Male,,591,616.5,-4.1
20200112,S08000030,,Under 5,,All,d,83,109,-23.9
20200112,S08000030,,5 - 14,,All,d,99,121.5,-18.5
20200112,S08000030,,15 - 44,,All,d,500,492,1.6
20200112,S08000030,,45 - 64,,All,d,287,277,3.6
20200112,S08000030,,65 - 74,,All,d,130,108,20.4
20200112,S08000030,,75 - 84,,All,d,114,119,-4.2
20200112,S08000030,,85 and over,,All,d,78,73.5,6.1
20200112,S08000030,,All ages,d,All,d,1313,1300,1
20200112,S08000030,,All ages,d,Female,,626,610,2.6
20200112,S08000030,,All ages,d,Male,,665,690,-3.6
20200112,S08000031,,Under 5,,All,d,723,805,-10.2
20200112,S08000031,,5 - 14,,All,d,580,589.5,-1.6
20200112,S08000031,,15 - 44,,All,d,2317,2318.5,-0.1
20200112,S08000031,,45 - 64,,All,d,1532,1489.5,2.9
20200112,S08000031,,65 - 74,,All,d,561,565.5,-0.8
20200112,S08000031,,75 - 84,,All,d,570,537,6.1
20200112,S08000031,,85 and over,,All,d,340,302,12.6
20200112,S08000031,,All ages,d,All,d,6756,6616,2.1
20200112,S08000031,,All ages,d,Female,,3355,3221,4.2
20200112,S08000031,,All ages,d,Male,,3268,3386,-3.5
20200112,S08000032,,Under 5,,All,d,181,179,1.1
20200112,S08000032,,5 - 14,,All,d,262,249.5,5
20200112,S08000032,,15 - 44,,All,d,1379,1303.5,5.8
20200112,S08000032,,45 - 64,,All,d,1090,982,11
20200112,S08000032,,65 - 74,,All,d,464,442,5
20200112,S08000032,,75 - 84,,All,d,409,380.5,7.5
20200112,S08000032,,85 and over,,All,d,212,205,3.4
20200112,S08000032,,All ages,d,All,d,4036,3771.5,7
20200112,S08000032,,All ages,d,Female,,2030,1895.5,7.1
20200112,S08000032,,All ages,d,Male,,1967,1846,6.6
20200112,S92000003,d,Under 5,,All,d,2112,2338,-9.7
20200112,S92000003,d,5 - 14,,All,d,2084,2131,-2.2
20200112,S92000003,d,15 - 44,,All,d,8594,8358.5,2.8
20200112,S92000003,d,45 - 64,,All,d,5891,5506.5,7
20200112,S92000003,d,65 - 74,,All,d,2499,2305,8.4
20200112,S92000003,d,75 - 84,,All,d,2367,2217.5,6.7
20200112,S92000003,d,85 and over,,All,d,1360,1263,7.7
20200112,S92000003,d,All ages,d,All,d,25375,24440,3.8
20200112,S92000003,d,All ages,d,Female,,12497,11808.5,5.8
20200112,S92000003,d,All ages,d,Male,,12410,12311,0.8
20200119,S08000015,,Under 5,,All,d,157,201.5,-22.1
20200119,S08000015,,5 - 14,,All,d,204,171.5,19
20200119,S08000015,,15 - 44,,All,d,615,660.5,-6.9
20200119,S08000015,,45 - 64,,All,d,418,415.5,0.6
20200119,S08000015,,65 - 74,,All,d,202,181,11.6
20200119,S08000015,,75 - 84,,All,d,192,168.5,13.9
20200119,S08000015,,85 and over,,All,d,108,93.5,15.5
20200119,S08000015,,All ages,d,All,d,1909,1900.5,0.4
20200119,S08000015,,All ages,d,Female,,910,935,-2.7
20200119,S08000015,,All ages,d,Male,,986,957,3
20200119,S08000016,,Under 5,,All,d,18,28,-35.7
20200119,S08000016,,5 - 14,,All,d,36,31,16.1
20200119,S08000016,,15 - 44,,All,d,144,151.5,-5
20200119,S08000016,,45 - 64,,All,d,157,117,34.2
20200119,S08000016,,65 - 74,,All,d,96,68.5,40.1
20200119,S08000016,,75 - 84,,All,d,84,65,29.2
20200119,S08000016,,85 and over,,All,d,48,52,-7.7
20200119,S08000016,,All ages,d,All,d,591,518.5,14
20200119,S08000016,,All ages,d,Female,,298,254,17.3
20200119,S08000016,,All ages,d,Male,,285,259,10
20200119,S08000017,,Under 5,,All,d,51,87,-41.4
20200119,S08000017,,5 - 14,,All,d,65,78,-16.7
20200119,S08000017,,15 - 44,,All,d,269,263.5,2.1
20200119,S08000017,,45 - 64,,All,d,188,158,19
20200119,S08000017,,65 - 74,,All,d,95,90,5.6
20200119,S08000017,,75 - 84,,All,d,90,89,1.1
20200119,S08000017,,85 and over,,All,d,41,44.5,-7.9
20200119,S08000017,,All ages,d,All,d,817,814.5,0.3
20200119,S08000017,,All ages,d,Female,,404,387.5,4.3
20200119,S08000017,,All ages,d,Male,,395,422.5,-6.5
20200119,S08000019,,Under 5,,All,d,115,77,49.4
20200119,S08000019,,5 - 14,,All,d,89,85.5,4.1
20200119,S08000019,,15 - 44,,All,d,413,404,2.2
20200119,S08000019,,45 - 64,,All,d,292,268.5,8.8
20200119,S08000019,,65 - 74,,All,d,109,103.5,5.3
20200119,S08000019,,75 - 84,,All,d,113,91,24.2
20200119,S08000019,,85 and over,,All,d,64,60,6.7
20200119,S08000019,,All ages,d,All,d,1214,1139,6.6
20200119,S08000019,,All ages,d,Female,,617,542,13.8
20200119,S08000019,,All ages,d,Male,,578,547.5,5.6
20200119,S08000020,,Under 5,,All,d,133,150,-11.3
20200119,S08000020,,5 - 14,,All,d,196,195.5,0.3
20200119,S08000020,,15 - 44,,All,d,681,655,4
20200119,S08000020,,45 - 64,,All,d,437,365,19.7
20200119,S08000020,,65 - 74,,All,d,184,165,11.5
20200119,S08000020,,75 - 84,,All,d,177,142,24.6
20200119,S08000020,,85 and over,,All,d,115,88.5,29.9
20200119,S08000020,,All ages,d,All,d,1977,1798.5,9.9
20200119,S08000020,,All ages,d,Female,,956,867.5,10.2
20200119,S08000020,,All ages,d,Male,,967,893.5,8.2
20200119,S08000022,,Under 5,,All,d,46,52.5,-12.4
20200119,S08000022,,5 - 14,,All,d,86,79,8.9
20200119,S08000022,,15 - 44,,All,d,376,343.5,9.5
20200119,S08000022,,45 - 64,,All,d,234,245,-4.5
20200119,S08000022,,65 - 74,,All,d,127,118,7.6
20200119,S08000022,,75 - 84,,All,d,87,101.5,-14.3
20200119,S08000022,,85 and over,,All,d,41,58.5,-29.9
20200119,S08000022,,All ages,d,All,d,1022,1038,-1.5
20200119,S08000022,,All ages,d,Female,,487,469.5,3.7
20200119,S08000022,,All ages,d,Male,,510,528.5,-3.5
20200119,S08000024,,Under 5,,All,d,489,571.5,-14.4
20200119,S08000024,,5 - 14,,All,d,487,515,-5.4
20200119,S08000024,,15 - 44,,All,d,1493,1317.5,13.3
20200119,S08000024,,45 - 64,,All,d,825,755,9.3
20200119,S08000024,,65 - 74,,All,d,366,306.5,19.4
20200119,S08000024,,75 - 84,,All,d,335,299.5,11.9
20200119,S08000024,,85 and over,,All,d,190,182.5,4.1
20200119,S08000024,,All ages,d,All,d,4362,4071,7.1
20200119,S08000024,,All ages,d,Female,,2130,1967.5,8.3
20200119,S08000024,,All ages,d,Male,,2055,1980,3.8
20200119,S08000025,,Under 5,,All,d,10,1.5,566.7
20200119,S08000025,,5 - 14,,All,d,11,8.5,29.4
20200119,S08000025,,15 - 44,,All,d,45,32,40.6
20200119,S08000025,,45 - 64,,All,d,40,30.5,31.1
20200119,S08000025,,65 - 74,,All,d,9,12,-25
20200119,S08000025,,75 - 84,,All,d,15,18,-16.7
20200119,S08000025,,85 and over,,All,d,7,6,16.7
20200119,S08000025,,All ages,d,All,d,139,110,26.4
20200119,S08000025,,All ages,d,Female,,59,50.5,16.8
20200119,S08000025,,All ages,d,Male,,78,58,34.5
20200119,S08000026,,5 - 14,,All,d,12,13,-7.7
20200119,S08000026,,15 - 44,,All,d,47,43.5,8
20200119,S08000026,,45 - 64,,All,d,26,30.5,-14.8
20200119,S08000026,,65 - 74,,All,d,5,15,-66.7
20200119,S08000026,,75 - 84,,All,d,18,16,12.5
20200119,S08000026,,85 and over,,All,d,8,7.5,6.7
20200119,S08000026,,All ages,d,All,d,123,142.5,-13.7
20200119,S08000026,,All ages,d,Female,,50,60.5,-17.4
20200119,S08000026,,All ages,d,Male,,70,76.5,-8.5
20200119,S08000028,,Under 5,,All,d,8,8.5,-5.9
20200119,S08000028,,5 - 14,,All,d,11,7.5,46.7
20200119,S08000028,,15 - 44,,All,d,23,30,-23.3
20200119,S08000028,,45 - 64,,All,d,30,22,36.4
20200119,S08000028,,65 - 74,,All,d,13,13,-0
20200119,S08000028,,75 - 84,,All,d,11,16,-31.2
20200119,S08000028,,85 and over,,All,d,6,9.5,-36.8
20200119,S08000028,,All ages,d,All,d,109,109.5,-0.5
20200119,S08000028,,All ages,d,Female,,53,50,6
20200119,S08000028,,All ages,d,Male,,49,56.5,-13.3
20200119,S08000029,,Under 5,,All,d,97,85.5,13.5
20200119,S08000029,,5 - 14,,All,d,135,105.5,28
20200119,S08000029,,15 - 44,,All,d,468,410.5,14
20200119,S08000029,,45 - 64,,All,d,265,271,-2.2
20200119,S08000029,,65 - 74,,All,d,112,107,4.7
20200119,S08000029,,75 - 84,,All,d,107,105.5,1.4
20200119,S08000029,,85 and over,,All,d,77,73,5.5
20200119,S08000029,,All ages,d,All,d,1268,1167.5,8.6
20200119,S08000029,,All ages,d,Female,,620,579,7.1
20200119,S08000029,,All ages,d,Male,,641,579,10.7
20200119,S08000030,,Under 5,,All,d,101,94.5,6.9
20200119,S08000030,,5 - 14,,All,d,128,114.5,11.8
20200119,S08000030,,15 - 44,,All,d,499,492.5,1.3
20200119,S08000030,,45 - 64,,All,d,265,254,4.3
20200119,S08000030,,65 - 74,,All,d,134,112.5,19.1
20200119,S08000030,,75 - 84,,All,d,119,114.5,3.9
20200119,S08000030,,85 and over,,All,d,71,71.5,-0.7
20200119,S08000030,,All ages,d,All,d,1337,1258,6.3
20200119,S08000030,,All ages,d,Female,,615,608,1.2
20200119,S08000030,,All ages,d,Male,,702,646,8.7
20200119,S08000031,,Under 5,,All,d,742,812.5,-8.7
20200119,S08000031,,5 - 14,,All,d,658,595,10.6
20200119,S08000031,,15 - 44,,All,d,2329,2290,1.7
20200119,S08000031,,45 - 64,,All,d,1512,1388,8.9
20200119,S08000031,,65 - 74,,All,d,575,530,8.5
20200119,S08000031,,75 - 84,,All,d,534,503.5,6.1
20200119,S08000031,,85 and over,,All,d,333,325.5,2.3
20200119,S08000031,,All ages,d,All,d,6724,6476,3.8
20200119,S08000031,,All ages,d,Female,,3316,3176,4.4
20200119,S08000031,,All ages,d,Male,,3367,3268.5,3
20200119,S08000032,,Under 5,,All,d,177,193,-8.3
20200119,S08000032,,5 - 14,,All,d,296,257.5,15
20200119,S08000032,,15 - 44,,All,d,1365,1277.5,6.8
20200119,S08000032,,45 - 64,,All,d,948,938.5,1
20200119,S08000032,,65 - 74,,All,d,440,396,11.1
20200119,S08000032,,75 - 84,,All,d,409,346,18.2
20200119,S08000032,,85 and over,,All,d,187,204.5,-8.6
20200119,S08000032,,All ages,d,All,d,3855,3653,5.5
20200119,S08000032,,All ages,d,Female,,1976,1844,7.2
20200119,S08000032,,All ages,d,Male,,1846,1769,4.4
20200119,S92000003,d,Under 5,,All,d,2148,2374.5,-9.5
20200119,S92000003,d,5 - 14,,All,d,2414,2257,7
20200119,S92000003,d,15 - 44,,All,d,8767,8371.5,4.7
20200119,S92000003,d,45 - 64,,All,d,5637,5258.5,7.2
20200119,S92000003,d,65 - 74,,All,d,2467,2218,11.2
20200119,S92000003,d,75 - 84,,All,d,2291,2076,10.4
20200119,S92000003,d,85 and over,,All,d,1296,1277,1.5
20200119,S92000003,d,All ages,d,All,d,25447,24196.5,5.2
20200119,S92000003,d,All ages,d,Female,,12491,11791,5.9
20200119,S92000003,d,All ages,d,Male,,12529,12041.5,4
20200126,S08000015,,Under 5,,All,d,206,203,1.5
20200126,S08000015,,5 - 14,,All,d,238,224,6.2
20200126,S08000015,,15 - 44,,All,d,678,672.5,0.8
20200126,S08000015,,45 - 64,,All,d,415,428.5,-3.2
20200126,S08000015,,65 - 74,,All,d,201,198,1.5
20200126,S08000015,,75 - 84,,All,d,191,172,11
20200126,S08000015,,85 and over,,All,d,108,100.5,7.5
20200126,S08000015,,All ages,d,All,d,2047,2018.5,1.4
20200126,S08000015,,All ages,d,Female,,984,999.5,-1.6
20200126,S08000015,,All ages,d,Male,,1053,999,5.4
20200126,S08000016,,Under 5,,All,d,25,20,25
20200126,S08000016,,5 - 14,,All,d,45,36,25
20200126,S08000016,,15 - 44,,All,d,164,174,-5.7
20200126,S08000016,,45 - 64,,All,d,126,136,-7.4
20200126,S08000016,,65 - 74,,All,d,71,68,4.4
20200126,S08000016,,75 - 84,,All,d,60,77,-22.1
20200126,S08000016,,85 and over,,All,d,48,51,-5.9
